,RPRTBL_EVENT_SERL,EVENT_DATE,EVENT_SEVTY_C,FY,EVENT_CLASSN_C,SHIP_PER_INJ_I,INVLVD_SHIP_UIC,VESL_NAME_A,VESL_TYPE_A,INVLVD_ACFT_SERL,ACFT_MODEL,COUNT_ACFT_I,EMBRKD_ASHR,INVLVD_PER_SERL,AGE,INJ_CLASSN_C,PAY_GRADE,RANK_RATE,Rank Description,RATEG,Full RATEG Description,Full RATEG Division,RPRTG_UIC,EVENT_SHORT_NARR,INCDT_OCCURN_SERL,INCDT_PHASE_OPS_C,INCDT_TYPE_C,INCDT_PHASE_OPS,INCDT_TYPE,SEX,INJ_CLASSN,Error,Deck?,Fault,High/Low,Event Description,Continue,anomaly,(Y/S) drop incident due to lack of information for interpretation,Human Involved?
200,46119,5/10/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,49706,F018C,Y,E,21294,,H,E03,AN,Airman,,Unknown,Unknown,N09558,ACFT SUSTAINED DAMAGE TO RADOME DURING HANGAR DECK RESPOT.            ,81009,952,A2,HANGAR DECK,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
201,46119,5/10/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,49706,F018C,Y,E,21294,,H,E03,AN,Airman,,Unknown,Unknown,N09558,ACFT SUSTAINED DAMAGE TO RADOME DURING HANGAR DECK RESPOT.            ,81010,952,XU,HANGAR DECK,AIRCRAFT GROUND HANDLING,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
202,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21323,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82239,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
203,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21401,33.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82239,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
204,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21320,29.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82239,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
205,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21322,29.0,H,O03,CAPT,Captain,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82239,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
206,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21321,38.0,H,O05,CDR,Commander,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82239,325,C5,AIRCRAFT LAUNCHED FROM CATAPULT,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
207,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21323,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82240,325,PD,AIRCRAFT LAUNCHED FROM CATAPULT,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
208,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21323,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82241,325,PM,AIRCRAFT LAUNCHED FROM CATAPULT,LIGHTING SYSTEM; EXCLUDING HEELS,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
209,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21323,27.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82242,325,P8,AIRCRAFT LAUNCHED FROM CATAPULT,"POWER PLANTS AND M01, M02",M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
210,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21401,33.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82240,325,PD,AIRCRAFT LAUNCHED FROM CATAPULT,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
211,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21401,33.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82241,325,PM,AIRCRAFT LAUNCHED FROM CATAPULT,LIGHTING SYSTEM; EXCLUDING HEELS,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
212,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21401,33.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82242,325,P8,AIRCRAFT LAUNCHED FROM CATAPULT,"POWER PLANTS AND M01, M02",M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
213,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21320,29.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82240,325,PD,AIRCRAFT LAUNCHED FROM CATAPULT,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
214,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21320,29.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82241,325,PM,AIRCRAFT LAUNCHED FROM CATAPULT,LIGHTING SYSTEM; EXCLUDING HEELS,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
215,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21320,29.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82242,325,P8,AIRCRAFT LAUNCHED FROM CATAPULT,"POWER PLANTS AND M01, M02",M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
216,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21322,29.0,H,O03,CAPT,Captain,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82240,325,PD,AIRCRAFT LAUNCHED FROM CATAPULT,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
217,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21322,29.0,H,O03,CAPT,Captain,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82241,325,PM,AIRCRAFT LAUNCHED FROM CATAPULT,LIGHTING SYSTEM; EXCLUDING HEELS,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
218,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21322,29.0,H,O03,CAPT,Captain,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82242,325,P8,AIRCRAFT LAUNCHED FROM CATAPULT,"POWER PLANTS AND M01, M02",M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
219,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21321,38.0,H,O05,CDR,Commander,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82240,325,PD,AIRCRAFT LAUNCHED FROM CATAPULT,AIRFRAME,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
220,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21321,38.0,H,O05,CDR,Commander,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82241,325,PM,AIRCRAFT LAUNCHED FROM CATAPULT,LIGHTING SYSTEM; EXCLUDING HEELS,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
221,46268,6/5/1997 12:00:00 AM,C,1997.0,1C,N,N03364,CONSTELLATION,CV,49865,EA006B,Y,E,21321,38.0,H,O05,CDR,Commander,,Unknown,Unknown,N09364,"ACFT HIT METAL OBJ SHATTERING LDG LIGHT, ACFT SKIN DAMAGE & FODED ENGS",82242,325,P8,AIRCRAFT LAUNCHED FROM CATAPULT,"POWER PLANTS AND M01, M02",M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
222,46269,6/5/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,49866,F018C,Y,E,21324,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09558,ACFT SUSTAINED DMG TO LEADING EDGE FLAP WHEN JBD WAS RAISED INTO IT.  ,80814,921,CK,FLIGHT DECK,JET BLAST DEFLECTOR,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
223,46536,7/21/1997 12:00:00 AM,C,1997.0,3C,N,N03368,NIMITZ,CVN,50143,F018C,N,E,21632,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09063,ACFT RADOME STRUCK BY WING BUTT OF TAXIING ACFT ON FLIGHT DECK.       ,118587,921,P1,FLIGHT DECK,FLIGHT CONTROLS,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
224,46536,7/21/1997 12:00:00 AM,C,1997.0,3C,N,N03368,NIMITZ,CVN,50143,F018C,N,E,21632,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09063,ACFT RADOME STRUCK BY WING BUTT OF TAXIING ACFT ON FLIGHT DECK.       ,118588,921,PD,FLIGHT DECK,AIRFRAME,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
225,46536,7/21/1997 12:00:00 AM,C,1997.0,3C,N,N03368,NIMITZ,CVN,50143,F018C,N,E,21632,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09063,ACFT RADOME STRUCK BY WING BUTT OF TAXIING ACFT ON FLIGHT DECK.       ,118586,921,A2,FLIGHT DECK,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
226,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21595,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82976,9ZZ,A2,NO FURTHER BREAKDOWN,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
227,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21595,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82977,9ZZ,P7,NO FURTHER BREAKDOWN,PROPELLER SYSTEM,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
228,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21597,,H,O05,CDR,Commander,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82976,9ZZ,A2,NO FURTHER BREAKDOWN,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
229,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21597,,H,O05,CDR,Commander,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82977,9ZZ,P7,NO FURTHER BREAKDOWN,PROPELLER SYSTEM,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
230,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21596,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82976,9ZZ,A2,NO FURTHER BREAKDOWN,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
231,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21596,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82977,9ZZ,P7,NO FURTHER BREAKDOWN,PROPELLER SYSTEM,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
232,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21599,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82976,9ZZ,A2,NO FURTHER BREAKDOWN,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
233,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21599,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82977,9ZZ,P7,NO FURTHER BREAKDOWN,PROPELLER SYSTEM,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
234,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21598,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82976,9ZZ,A2,NO FURTHER BREAKDOWN,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
235,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50470,E002C+,N,E,21598,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82977,9ZZ,P7,NO FURTHER BREAKDOWN,PROPELLER SYSTEM,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
236,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21592,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82969,211,A2,MISSION/FLIGHT ABORTED,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
237,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21592,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82970,211,P1,MISSION/FLIGHT ABORTED,FLIGHT CONTROLS,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
238,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21594,,H,E05,PO2,Petty Officer 2nd Class,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82969,211,A2,MISSION/FLIGHT ABORTED,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
239,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21594,,H,E05,PO2,Petty Officer 2nd Class,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82970,211,P1,MISSION/FLIGHT ABORTED,FLIGHT CONTROLS,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
240,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21591,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82969,211,A2,MISSION/FLIGHT ABORTED,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
241,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21591,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82970,211,P1,MISSION/FLIGHT ABORTED,FLIGHT CONTROLS,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
242,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21593,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82969,211,A2,MISSION/FLIGHT ABORTED,COLLISION BETWEEN AIRCRAFT NOT AIRBORNE,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
243,46852,9/24/1997 12:00:00 AM,C,1997.0,3C,N,N03364,CONSTELLATION,CV,50467,S003B,Y,E,21593,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09192,ACFT 01 TAXIED INTO TURNING ACFT 02 PROP DAMAGING BOTH ACFT.          ,82970,211,P1,MISSION/FLIGHT ABORTED,FLIGHT CONTROLS,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
244,46894,10/3/1997 12:00:00 AM,C,1998.0,2C,,,,,50512,F014A,Y,E,21611,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09086,ACFT INADVERTENTLY JETTISONED EXTERNAL FUEL TANKS.                    ,83644,444,XM,GLIDE/DIVE BOMBING,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
245,46894,10/3/1997 12:00:00 AM,C,1998.0,2C,,,,,50512,F014A,Y,E,21611,,H,O03,LT,Lieutenant,,Unknown,Unknown,N09086,ACFT INADVERTENTLY JETTISONED EXTERNAL FUEL TANKS.                    ,83645,444,P4,GLIDE/DIVE BOMBING,FUEL/OIL,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
246,46894,10/3/1997 12:00:00 AM,C,1998.0,2C,,,,,50512,F014A,Y,E,21612,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09086,ACFT INADVERTENTLY JETTISONED EXTERNAL FUEL TANKS.                    ,83644,444,XM,GLIDE/DIVE BOMBING,LOSS EXTERNALLY/INTERNALLY CARRIED EQUIPMENT/STORES,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
247,46894,10/3/1997 12:00:00 AM,C,1998.0,2C,,,,,50512,F014A,Y,E,21612,,H,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09086,ACFT INADVERTENTLY JETTISONED EXTERNAL FUEL TANKS.                    ,83645,444,P4,GLIDE/DIVE BOMBING,FUEL/OIL,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
248,47260,12/11/1997 12:00:00 AM,A,1998.0,1A,N,N03365,ENTERPRISE,CVN,50899,T045A,Y,E,21710,24.0,H,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N0401A,"FLAMEOUT/FIRE IN CV LDG PATTERN, SNA EJECTED, ACFT CRASHED INTO WATER ",85808,4BZ,FI,NO FURTHER BREAKDOWN,FUEL-FED FIRE,M,NO INJURY OR ILLNESS,,,,Low,Destruction,Fire,,,No
249,47260,12/11/1997 12:00:00 AM,A,1998.0,1A,N,N03365,ENTERPRISE,CVN,50899,T045A,Y,E,21710,24.0,H,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N0401A,"FLAMEOUT/FIRE IN CV LDG PATTERN, SNA EJECTED, ACFT CRASHED INTO WATER ",85809,4BZ,G6,NO FURTHER BREAKDOWN,OTHER,M,NO INJURY OR ILLNESS,,,,Low,Destruction,Fire,,,No
250,47260,12/11/1997 12:00:00 AM,A,1998.0,1A,N,N03365,ENTERPRISE,CVN,50899,T045A,Y,E,21710,24.0,H,O02,LTJG,"Lieutenant, Junior Grade",,Unknown,Unknown,N0401A,"FLAMEOUT/FIRE IN CV LDG PATTERN, SNA EJECTED, ACFT CRASHED INTO WATER ",85810,4BZ,B3,NO FURTHER BREAKDOWN,WATER; UNCONTROLLED,M,NO INJURY OR ILLNESS,,,,Low,Destruction,Fire,,,No
251,47263,12/7/1997 12:00:00 AM,C,1998.0,3C,N,N03368,NIMITZ,CVN,50902,F018C,Y,E,21756,,H,E03,AN,Airman,,Unknown,Unknown,N63925,ACFT UNDER TOW STRUCK LSO PLATFORM DURING NIGHT FLIGHT DECK RESPOT.   ,84685,9A1,C5,FLIGHT DECK,SHIPS SUPERSTRUCTURE; DECK OBSTRUCTIONS,,NO INJURY OR ILLNESS,,Yes,Deck Crew,Low,Machine Damage,,,,No
252,47263,12/7/1997 12:00:00 AM,C,1998.0,3C,N,N03368,NIMITZ,CVN,50902,F018C,Y,E,21756,,H,E03,AN,Airman,,Unknown,Unknown,N63925,ACFT UNDER TOW STRUCK LSO PLATFORM DURING NIGHT FLIGHT DECK RESPOT.   ,84684,9A1,XU,FLIGHT DECK,AIRCRAFT GROUND HANDLING,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
253,47263,12/7/1997 12:00:00 AM,C,1998.0,3C,N,N03368,NIMITZ,CVN,50902,F018C,Y,E,21756,,H,E03,AN,Airman,,Unknown,Unknown,N63925,ACFT UNDER TOW STRUCK LSO PLATFORM DURING NIGHT FLIGHT DECK RESPOT.   ,84686,9A1,PD,FLIGHT DECK,AIRFRAME,,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
254,47638,2/22/1998 12:00:00 AM,C,1998.0,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21854,44.0,H,O06,CAPT,Captain,,Unknown,Unknown,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85484,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
255,47638,2/22/1998 12:00:00 AM,C,1998.0,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21853,29.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85484,520,PH,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,"LANDING GEAR (STRUTS, BRAKES, TIRES, ETC)",M,NO INJURY OR ILLNESS,,Yes,Other,Low,Machine Damage,,,,No
256,47638,2/22/1998 12:00:00 AM,C,1998.0,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21854,44.0,H,O06,CAPT,Captain,,Unknown,Unknown,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85485,520,L1,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,COLLAPSE,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
257,47638,2/22/1998 12:00:00 AM,C,1998.0,1C,N,N03362,INDEPENDENCE,CV,51288,F014A,Y,E,21853,29.0,H,O03,LT,Lieutenant,,Unknown,Unknown,N09678,PORT MAIN LANDING GEAR COLLAPSED ON ARRESTED LANDING.                 ,85485,520,L1,INFLIGHT ENGAGEMENT OF ARRESTING WIRE,COLLAPSE,M,NO INJURY OR ILLNESS,,,,Low,Machine Damage,,,,No
258,47945,4/27/1998 12:00:00 AM,A,1998.0,1A,N,N03362,INDEPENDENCE,CV,51608,F018C,Y,E,21999,,D,O04,LCDR,Lieutenant Commander,,Unknown,Unknown,N09076,AIRCRAFT CRASHED INTO WATER FOLLOWING PILOT EJECTION DURING FCF.      ,86178,411,B3,TEST FLIGHT,WATER; UNCONTROLLED,,ONE OR MORE LOST WORK DAYS,,,,Low,Destruction,,,,No
